id,user_id,question,description,type,created,edited
1,7,"Do you think Airbnb and HomeAway have an unfair advantage over hotel chains?","Why is this question important?","2 part - Yes/No, have heard anything about this topic?","2017-08-22 22:47:00.499180","2017-08-22 22:47:00.499198"
2,2,"Someone accidentally deleted all the questions from this site. How much does this bother you?","Why is this question important?","good/bad slider","2017-08-22 22:48:29.747655","2017-08-22 22:48:29.747691"
